"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CFCLUUQL","journalArticle","2014","Yan, Veronica; Thai, Khanh-Phuong; Bjork, Robert","Habits and beliefs that guide self-regulated learning: Do they vary with mindset?","Journal of Applied Research in Memory and Cognition","","2211-3681","10.1016/j.jarmac.2014.04.003","https://doi.org/10.1016/j.jarmac.2014.04.003","","2014-04-24","2025-08-03 23:28:32","2025-08-16 09:07:37","","140-152","","3","3","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citations: 98 (Crossref) [2025-08-04] Citations: 123 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/D5BPDVPN/Yan 等 - 2014 - Habits and beliefs that guide self-regulated learning Do they vary with mindset.pdf","","Coursework; Mindset; Trait; Value (mathematics)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKZ2WGR2","journalArticle","2012","Yue, Carole; Castel, Alan; Bjork, Robert","When disfluency is—and is not—a desirable difficulty: The influence of typeface clarity on metacognitive judgments and memory","Memory & Cognition","","0090-502X","10.3758/s13421-012-0255-8","https://doi.org/10.3758/s13421-012-0255-8","","2012-09-14","2025-08-03 23:28:32","2025-08-16 09:06:51","","229-241","","2","41","","","","","","","","","","en","","","","","","","Publisher: Springer Science+Business Media Citations: 121 (Crossref) [2025-08-10] Citations: 181 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/NAA46TLR/Yue 等 - 2012 - When disfluency is—and is not—a desirable difficulty The influence of typeface clarity on metacogni.pdf","","Affect; Implicit memory; Metamemory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Y9G6CMK","journalArticle","1992","Schmidt, Richard; Bjork, Robert","New Conceptualizations of Practice: Common Principles in Three Paradigms Suggest New Concepts for Training","Psychological Science","","0956-7976","10.1111/j.1467-9280.1992.tb00029.x","https://doi.org/10.1111/j.1467-9280.1992.tb00029.x","","1992-07-01","2025-08-03 23:28:32","2025-08-16 09:05:32","","207-218","","4","3","","","","","","","","","","en","","","","","","","Publisher: SAGE Publishing Citations: 1084 (Crossref) [2025-08-10] Citations: 1665 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/6J7NFWWH/Schmidt和Bjork - 1992 - New Conceptualizations of Practice Common Principles in Three Paradigms Suggest New Concepts for Tr.pdf","","Generality; Motor Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJVYK89Z","journalArticle","2008","Pashler, Harold; McDaniel, Mark; Rohrer, Doug; Bjork, Robert","Learning Styles","Psychological Science in the Public Interest","","1529-1006","10.1111/j.1539-6053.2009.01038.x","https://doi.org/10.1111/j.1539-6053.2009.01038.x","The term ""learning styles"" refers to the concept that individuals differ in regard to what mode of instruction or study is most effective for them. Proponents of learning-style assessment contend that optimal instruction requires diagnosing individuals' learning style and tailoring instruction accordingly. Assessments of learning style typically ask people to evaluate what sort of information presentation they prefer (e.g., words versus pictures versus speech) and/or what kind of mental activity they find most engaging or congenial (e.g., analysis versus listening), although assessment instruments are extremely diverse. The most common-but not the only-hypothesis about the instructional relevance of learning styles is the meshing hypothesis, according to which instruction is best provided in a format that matches the preferences of the learner (e.g., for a ""visual learner,"" emphasizing visual presentation of information). The learning-styles view has acquired great influence within the education field, and is frequently encountered at levels ranging from kindergarten to graduate school. There is a thriving industry devoted to publishing learning-styles tests and guidebooks for teachers, and many organizations offer professional development workshops for teachers and educators built around the concept of learning styles. The authors of the present review were charged with determining whether these practices are supported by scientific evidence. We concluded that any credible validation of learning-styles-based instruction requires robust documentation of a very particular type of experimental finding with several necessary criteria. First, students must be divided into groups on the basis of their learning styles, and then students from each group must be randomly assigned to receive one of multiple instructional methods. Next, students must then sit for a final test that is the same for all students. Finally, in order to demonstrate that optimal learning requires that students receive instruction tailored to their putative learning style, the experiment must reveal a specific type of interaction between learning style and instructional method: Students with one learning style achieve the best educational outcome when given an instructional method that differs from the instructional method producing the best outcome for students with a different learning style. In other words, the instructional method that proves most effective for students with one learning style is not the most effective method for students with a different learning style. Our review of the literature disclosed ample evidence that children and adults will, if asked, express preferences about how they prefer information to be presented to them. There is also plentiful evidence arguing that people differ in the degree to which they have some fairly specific aptitudes for different kinds of thinking and for processing different types of information. However, we found virtually no evidence for the interaction pattern mentioned above, which was judged to be a precondition for validating the educational applications of learning styles. Although the literature on learning styles is enormous, very few studies have even used an experimental methodology capable of testing the validity of learning styles applied to education. Moreover, of those that did use an appropriate method, several found results that flatly contradict the popular meshing hypothesis. We conclude therefore, that at present, there is no adequate evidence base to justify incorporating learning-styles assessments into general educational practice. Thus, limited education resources would better be devoted to adopting other educational practices that have a strong evidence base, of which there are an increasing number. However, given the lack of methodologically sound studies of learning styles, it would be an error to conclude that all possible versions of learning styles have been tested and found wanting; many have simply not been tested at all. Further research on the use of learning-styles assessment in instruction may in some cases be warranted, but such research needs to be performed appropriately.","2008-12-01","2025-08-03 23:28:32","2025-08-16 09:05:29","","105-119","","3","9","","","","","","","","","","en","","","","","","","Publisher: SAGE Publishing Citations: 1211 (Crossref) [2025-08-10] Citations: 1337 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/U92U9HXG/Pashler 等 - 2008 - Learning Styles.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJZYJCNV","journalArticle","1994","Anderson, Michael; Bjork, Robert; Bjork, Elizabeth","Remembering can cause forgetting: Retrieval dynamics in long-term memory.","Journal of Experimental Psychology Learning Memory and Cognition","","0278-7393","10.1037/0278-7393.20.5.1063","https://doi.org/10.1037/0278-7393.20.5.1063","","1994-01-01","2025-08-03 23:28:32","2025-08-16 09:05:35","","1063-1087","","5","20","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 732 (Crossref) [2025-08-10] Citations: 1508 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/ED6LT8HM/Anderson 等 - 1994 - Remembering can cause forgetting Retrieval dynamics in long-term memory..pdf","","Cued recall; Dynamics; Long-term memory; Retrieval-induced forgetting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMLA7MS6","journalArticle","2000","Anderson, Michael; Bjork, Elizabeth; Bjork, Robert","Retrieval-induced forgetting: Evidence for a recall-specific mechanism","Psychonomic Bulletin & Review","","1069-9384","10.3758/bf03214366","https://doi.org/10.3758/bf03214366","","2000-09-01","2025-08-03 23:28:32","2025-08-16 09:06:02","","522-530","","3","7","","","","","","","","","","en","","","","","","","Publisher: Springer Science+Business Media Citations: 260 (Crossref) [2025-08-04] Citations: 400 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/2CP85YBZ/Anderson 等 - 2000 - Retrieval-induced forgetting Evidence for a recall-specific mechanism.pdf","","Cue-dependent forgetting; Cued recall; Facilitation; Motivated forgetting; Retrieval-induced forgetting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDU763I2","journalArticle","1996","Bjork, Elizabeth; Bjork, Robert","Continuing Influences of To-Be-Forgotten Information","Consciousness and Cognition","","1053-8100","10.1006/ccog.1996.0011","https://doi.org/10.1006/ccog.1996.0011","","1996-03-01","2025-08-03 23:28:32","2025-08-16 09:06:49","","176-196","","1-2","5","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citations: 127 (Crossref) [2025-08-04] Citations: 194 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/GG8I4D5I/Bjork和Bjork - 1996 - Continuing Influences of To-Be-Forgotten Information.pdf","","Human memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65FLXJDC","journalArticle","2012","Birnbaum, Monica; Kornell, Nate; Bjork, Elizabeth; Bjork, Robert","Why interleaving enhances inductive learning: The roles of discrimination and retrieval","Memory & Cognition","","0090-502X","10.3758/s13421-012-0272-7","https://doi.org/10.3758/s13421-012-0272-7","","2012-11-08","2025-08-03 23:28:32","2025-08-16 09:06:34","","392-402","","3","41","","","","","","","","","","en","","","","","","","Publisher: Springer Science+Business Media Citations: 171 (Crossref) [2025-08-04] Citations: 240 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/TQ9YP8BD/Birnbaum 等 - 2012 - Why interleaving enhances inductive learning The roles of discrimination and retrieval.pdf","","Discrimination learning; Discriminative model; Interleaving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J92QVXCE","journalArticle","1970","Bjork, Robert","Positive forgetting: The noninterference of Items intentionally forgotten","Journal of Verbal Learning and Verbal Behavior","","0022-5371","10.1016/s0022-5371(70)80059-7","https://doi.org/10.1016/s0022-5371(70)80059-7","","1970-06-01","2025-08-03 23:28:32","2025-08-16 09:06:17","","255-268","","3","9","","","","","","","","","","en","","","","","","","Publisher: Academic Press Citations: 216 (Crossref) [2025-08-04] Citations: 324 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/AREN3AWH/Bjork - 1970 - Positive forgetting The noninterference of Items intentionally forgotten.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TU3JDTP","journalArticle","1970","Bjork, Robert; Allen, Ted","The spacing effect: Consolidation or differential encoding?","Journal of Verbal Learning and Verbal Behavior","","0022-5371","10.1016/s0022-5371(70)80103-7","https://doi.org/10.1016/s0022-5371(70)80103-7","","1970-10-01","2025-08-03 23:28:32","2025-08-16 09:07:33","","567-572","","5","9","","","","","","","","","","en","","","","","","","Publisher: Academic Press Citations: 103 (Crossref) [2025-08-04] Citations: 169 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/ISHN7IKK/Bjork和Allen - 1970 - The spacing effect Consolidation or differential encoding.pdf","","Consolidation; Differential effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASB8VG9K","journalArticle","2020","Bjork, Robert; Bjork, Elizabeth","Desirable difficulties in theory and practice.","Journal of Applied Research in Memory and Cognition","","2211-3681","10.1016/j.jarmac.2020.09.003","https://doi.org/10.1016/j.jarmac.2020.09.003","","2020-12-01","2025-08-03 23:28:32","2025-08-16 09:06:45","","475-479","","4","9","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citations: 137 (Crossref) [2025-08-04] Citations: 133 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/YLHZ5TRP/Bjork和Bjork - 2020 - Desirable difficulties in theory and practice..pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URJ5DWT9","journalArticle","1974","Bjork, Robert; Whitten, William","Recency-sensitive retrieval processes in long-term free recall","Cognitive Psychology","","0010-0285","10.1016/0010-0285(74)90009-7","https://doi.org/10.1016/0010-0285(74)90009-7","","1974-04-01","2025-08-03 23:28:32","2025-08-16 09:05:58","","173-189","","2","6","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citations: 324 (Crossref) [2025-08-04] Citations: 583 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/7D8IENWB/Bjork和Whitten - 1974 - Recency-sensitive retrieval processes in long-term free recall.pdf","","Context-dependent memory; Modality effect; Presentation (obstetrics); Recall test; Serial position effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZRNV7Y3","journalArticle","1983","Geiselman, R.; Bjork, Robert; Fishman, Deborah","Disrupted retrieval in directed forgetting: A link with posthypnotic amnesia.","Journal of Experimental Psychology General","","0096-3445","10.1037/0096-3445.112.1.58","https://doi.org/10.1037/0096-3445.112.1.58","","1983-01-01","2025-08-03 23:28:32","2025-08-16 09:06:08","","58-72","","1","112","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 222 (Crossref) [2025-08-04] Citations: 256 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/FLSLEPJB/Geiselman 等 - 1983 - Disrupted retrieval in directed forgetting A link with posthypnotic amnesia..pdf","","Link (geometry); Retrieval-induced forgetting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3E3I472","journalArticle","1988","Hirshman, Elliot; Bjork, Robert","The generation effect: Support for a two-factor theory.","Journal of Experimental Psychology Learning Memory and Cognition","","0278-7393","10.1037/0278-7393.14.3.484","https://doi.org/10.1037/0278-7393.14.3.484","","1988-07-01","2025-08-03 23:28:32","2025-08-16 09:07:21","","484-494","","3","14","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 108 (Crossref) [2025-08-04] Citations: 236 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/MT9XIM4J/Hirshman和Bjork - 1988 - The generation effect Support for a two-factor theory..pdf","","Factor (programming language)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DPCXGDG","journalArticle","2005","Koriat, Asher; Bjork, Robert","Illusions of Competence in Monitoring One's Knowledge During Study.","Journal of Experimental Psychology Learning Memory and Cognition","","0278-7393","10.1037/0278-7393.31.2.187","https://doi.org/10.1037/0278-7393.31.2.187","","2005-01-01","2025-08-03 23:28:32","2025-08-16 09:06:38","","187-194","","2","31","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 143 (Crossref) [2025-08-10] Citations: 361 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/IRCXRKUK/Koriat和Bjork - 2005 - Illusions of Competence in Monitoring One's Knowledge During Study..pdf","","Metamemory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5PXH9WK","journalArticle","2004","Koriat, Asher; Bjork, Robert; Sheffer, Limor; Bär, Sarah","Predicting One's Own Forgetting: The Role of Experience-Based and Theory-Based Processes.","Journal of Experimental Psychology General","","0096-3445","10.1037/0096-3445.133.4.643","https://doi.org/10.1037/0096-3445.133.4.643","","2004-01-01","2025-08-03 23:28:32","2025-08-16 09:06:11","","643-656","","4","133","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 221 (Crossref) [2025-08-10] Citations: 350 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/HDQSDMJA/Koriat 等 - 2004 - Predicting One's Own Forgetting The Role of Experience-Based and Theory-Based Processes..pdf","","Motivated forgetting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZEPCHCXD","journalArticle","2007","Kornell, Nate; Bjork, Robert","The promise and perils of self-regulated study","Psychonomic Bulletin & Review","","1069-9384","10.3758/bf03194055","https://doi.org/10.3758/bf03194055","","2007-04-01","2025-08-03 23:28:32","2025-08-16 09:05:51","","219-224","","2","14","","","","","","","","","","en","","","","","","","Publisher: Springer Science+Business Media Citations: 340 (Crossref) [2025-08-10] Citations: 464 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/IK836SP7/Kornell和Bjork - 2007 - The promise and perils of self-regulated study.pdf","","Rest (music)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYU5EZAR","journalArticle","2008","Kornell, Nate; Bjork, Robert","Optimising self-regulated study: The benefits—and costs—of dropping flashcards","Memory","","0965-8211","10.1080/09658210701763899","https://doi.org/10.1080/09658210701763899","","2008-02-01","2025-08-03 23:28:32","2025-08-16 09:07:15","","125-136","","2","16","","","","","","","","","","en","","","","","","","Publisher: Taylor & Francis Citations: 109 (Crossref) [2025-08-10] Citations: 158 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/5FSSZJWT/Kornell和Bjork - 2008 - Optimising self-regulated study The benefits—and costs—of dropping flashcards.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EW35R5ZB","journalArticle","2008","Kornell, Nate; Bjork, Robert","Learning Concepts and Categories","Psychological Science","","0956-7976","10.1111/j.1467-9280.2008.02127.x","https://doi.org/10.1111/j.1467-9280.2008.02127.x","","2008-06-01","2025-08-03 23:28:32","2025-08-16 09:05:48","","585-592","","6","19","","","","","","","","","","en","","","","","","","Publisher: SAGE Publishing Citations: 379 (Crossref) [2025-08-10] Citations: 375 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/G8EIPBZZ/Kornell和Bjork - 2008 - Learning Concepts and Categories.pdf","","Concept learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HV3UCZCB","journalArticle","2009","Kornell, Nate; Bjork, Robert","A stability bias in human memory: Overestimating remembering and underestimating learning.","Journal of Experimental Psychology General","","0096-3445","10.1037/a0017350","https://doi.org/10.1037/a0017350","","2009-01-01","2025-08-03 23:28:32","2025-08-16 09:06:59","","449-468","","4","138","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 117 (Crossref) [2025-08-10] Citations: 171 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/XVD7C6JR/Kornell和Bjork - 2009 - A stability bias in human memory Overestimating remembering and underestimating learning..pdf","","Animal learning; Cued recall; Cued speech; Human memory; Implicit memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3SZQWZKI","journalArticle","2010","Kornell, Nate; Castel, Alan; Eich, Teal; Bjork, Robert","Spacing as the friend of both memory and induction in young and older adults.","Psychology and Aging","","0882-7974","10.1037/a0017807","https://doi.org/10.1037/a0017807","","2010-01-01","2025-08-03 23:28:32","2025-08-16 09:06:55","","498-503","","2","25","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 119 (Crossref) [2025-08-10] Citations: 192 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/4CHAM3C4/Kornell 等 - 2010 - Spacing as the friend of both memory and induction in young and older adults..pdf","","PsycINFO; Repetition (rhetorical device)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
